id,name,second_name,pre_surname,surname,main_job,fullname,Aid,orcid
0BB8BA598D57F334D8DA09ACA5F3F22B035533A7,Rafał,Janusz,,Gerymski,Uniwersytet_Opolski,Rafał Janusz Gerymski,Rafał_Janusz_Gerymski_Hu9,0000-0003-4847-1429
B7181F91C170292AF1D5C36E5934B3BB9DC5B44F,Józef,,,Gierowski,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Józef Gierowski,Józef_Gierowski_iXc,0000-0002-7497-1876
DD09E71480D5674011B8AE726B9F7DACF52FC170,Jacek,Janusz,,Gierus,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie,Jacek Janusz Gierus,Jacek_Janusz_Gierus_pTP,0000-0003-2532-3327
EBC961A31A1D14BA58532F62CC9DCF02633144A2,Karolina,,,Ginalska,Uniwersytet_Jana_Kochanowskiego_w_Kielcach,Karolina Ginalska,Karolina_Ginalska_S3s,0000-0003-4818-3582
87249CA87F17AE8E0CD8B235AC078DC861D72436,Stanisław,,,Głaz,Akademia_Ignatianum_w_Krakowie,Stanisław Głaz,Stanisław_Głaz_uFR,
5E75B30F7C0A94B8D5FF3F22EFEB417C3D493FD7,Elżbieta,,,Głąb,Uniwersytet_Pedagogiczny_Komisji_Edukacji_Narodowej_w_Krakowie,Elżbieta Głąb,Elżbieta_Głąb_IRW,0000-0001-7245-3023
4BAA9EDDB24A3EE2E0386080FC43C18C7F3247E7,Karolina,,,Głogowska,Uniwersytet_Kazimierza_Wielkiego_w_Bydgoszczy,Karolina Głogowska,Karolina_Głogowska_uJp,0000-0002-5139-4826
2C688BC6E8118ECA59189291D4A0E7A850D8B227,Kaja,Renata,,Głomb,Uniwersytet_Jagielloński_w_Krakowie,Kaja Renata Głomb,Kaja_Renata_Głomb_LOw,0000-0001-5083-0385
8239C55E1DB19DCC84C0D2FCD2D14634A7A5C3CA,Joanna,Weronika,,Główczewska,Uniwersytet_Gdański,Joanna Weronika Główczewska,Joanna_Weronika_Główczewska_A1y,0000-0002-9101-0380
5E78069C3045B466E29273AFC2EC6AEAA48DF995,Michał,Miłosz,,Główczewski,Uniwersytet_Mikołaja_Kopernika_w_Toruniu,Michał Miłosz Główczewski,Michał_Miłosz_Główczewski_Bam,0000-0001-7449-4232
CD40AF995B4A73E20AFECE0FC6A75750E64B21BA,Małgorzata,Anna,,Godlewska,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Małgorzata Anna Godlewska,Małgorzata_Anna_Godlewska_TsC,0000-0001-9552-8534
5349D1205210C13E7FD6267E1E6519EC6BBBD67C,Dorota,Elżbieta,,Godlewska-Werner,Uniwersytet_Gdański,Dorota Elżbieta Godlewska-Werner,Dorota_Elżbieta_Godlewska-Werner_ZRz,0000-0002-0254-8163
300769682635E28E2F596C9E8C94AA2DE35A1FFF,Mateusz,Kazimierz,,Gola,Instytut_Psychologii_Polskiej_Akademii_Nauk,Mateusz Kazimierz Gola,Mateusz_Kazimierz_Gola_cWh,0000-0002-9691-1102
4CDC352B21D94EA0457D29E7C986E440D84B27FB,Agnieszka,Monika,,Golec,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Agnieszka Monika Golec,Agnieszka_Monika_Golec_LAs,0000-0002-7631-9486
C33DAC233683680F84A2AF8B3968529787F98CA9,Paulina,Beata,,Golińska,Uniwersytet_Gdański,Paulina Beata Golińska,Paulina_Beata_Golińska_weR,0000-0001-7407-0720
6097CC2B00F2E501B3781375D4D946E704933887,Krystyna,,,Golonka,Uniwersytet_Jagielloński_w_Krakowie,Krystyna Golonka,Krystyna_Golonka_0pK,0000-0001-5813-8713
443F403E499D85081B956BFC4FB20BE1F4168C4B,Dominik,,,Gołuch,Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,Dominik Gołuch,Dominik_Gołuch_NyA,0000-0003-0578-2171
5A5BA60B4CAA98ABF6F2A4675DE1BDB7A017F48A,Sofia,,,Gonzalez Castro,Uniwersytet_Jagielloński_w_Krakowie,Sofia Gonzalez Castro,Sofia_Gonzalez_Castro_XhB,0000-0002-2085-3196
469E14CDB4757C6DE113D5A63E9D534FCA0EEE74,Aneta,Maria,,Gop,Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,Aneta Maria Gop,Aneta_Maria_Gop_WoU,0000-0002-7808-0835
